county,constituency_code,constituency_name,office_location,landmark,distance_from_landmark,latitude,longitude,geocode_method,geocode_confidence,accuracy_meters,formatted_address,successful_geocode_query,total_queries_tried,geocode_status
Kiambu,,Thika Town,Afc Building Thika,Buffalo Grill & Butchery,100 Metres,,,pending,0.0,9999.0,Geocoding failed for Thika Town,,0,failed
Kiambu,,Githunguri,DCC Compound,DCC Offices,7 Metres,,,pending,0.0,9999.0,Geocoding failed for Githunguri,,0,failed
Kiambu,,Kabete,Kabete Sub County Government Premises.,Wangige Sub County Hospital,100 Metres,,,pending,0.0,9999.0,Geocoding failed for Kabete,,0,failed
Kiambu,,Kikuyu,Kikuyu Town,K-Unity Bank,Zero,,,pending,0.0,9999.0,Geocoding failed for Kikuyu,,0,failed
Kiambu,,Lari,"Along Nairobi - Nakuru Highway, Within Ki-",Kimende Town,Within,,,pending,0.0,9999.0,Geocoding failed for Lari,,0,failed
Turkana,,Turkana North,DCC's Compound Lokitaung',DCC's Office,10 Metres,,,pending,0.0,9999.0,Geocoding failed for Turkana North,,0,failed
Turkana,,Turkana West,Old DCC's Office Kakuma,Refugees Affairs Services Offices,5 Metres,,,pending,0.0,9999.0,Geocoding failed for Turkana West,,0,failed
Turkana,,Turkana Central,DCC's Compound Lodwar,Huduma Centre,10 Metres,,,pending,0.0,9999.0,Geocoding failed for Turkana Central,,0,failed
Turkana,,Loima,DCC's Compound Lorgum,DCC's Office,10 Metres,,,pending,0.0,9999.0,Geocoding failed for Loima,,0,failed
Turkana,,Turkana South,DCC's Compound Lokichar,DCC's Office,5 Metres,,,pending,0.0,9999.0,Geocoding failed for Turkana South,,0,failed
Turkana,,Turkana East,DCC's Compound Lokori,DCC's Office,5 metres,,,pending,0.0,9999.0,Geocoding failed for Turkana East,,0,failed
West Pokot,,Kapenguria,Deputy Commissioner’s Compound,DCC Offices,10 Meters,,,pending,0.0,9999.0,Geocoding failed for Kapenguria,,0,failed
West Pokot,,Sigor,KVDA,KVDA Offices,0 Metres,,,pending,0.0,9999.0,Geocoding failed for Sigor,,0,failed
West Pokot,,Kacheliba,Holy Cross Catholic Church Kacheliba Catholic Church,100 Meters,,,,pending,0.0,9999.0,Geocoding failed for Kacheliba,,0,failed
West Pokot,,Pokot South,St Marks Development Centre,DCC Offices,200 Meters,,,pending,0.0,9999.0,Geocoding failed for Pokot South,,0,failed
Samburu,,Samburu North,Baragoi Town,DCC Office,Within the DCC Building - 0 Metres,,,pending,0.0,9999.0,Geocoding failed for Samburu North,,0,failed
Samburu,,Samburu East,Wambaa Town,Wamba Parish,Within the Church Compound - 0 Metres,,,pending,0.0,9999.0,Geocoding failed for Samburu East,,0,failed
Trans Nzoia,,Kwanza,KFA Building kitale town,KFA Building,Within KFA Building,,,pending,0.0,9999.0,Geocoding failed for Kwanza,,0,failed
Trans Nzoia,,Endebess,Endebess Centre,DCCs office,150 Metres,,,pending,0.0,9999.0,Geocoding failed for Endebess,,0,failed
Trans Nzoia,,Saboti,Maendeleo ya wanawake building Old Ambwere Plaza,100 Metres,,,,pending,0.0,9999.0,Geocoding failed for Saboti,,0,failed
Trans Nzoia,,Kiminini,Kiminini centre,St Peters Cleavers Catholic Church,Within Church Compound,,,pending,0.0,9999.0,Geocoding failed for Kiminini,,0,failed
Trans Nzoia,,Cherangany,Kachibora,DCCs office,Within DCCs Office,,,pending,0.0,9999.0,Geocoding failed for Cherangany,,0,failed
Uasin Gishu,,Turbo,"Within NCCK North headquarters, West Indies","NCCK North Headquarters, West Indies",100 Metres,,,pending,0.0,9999.0,Geocoding failed for Turbo,,0,failed
Uasin Gishu,,Moiben,"Kimumu Ward Administrative Offices in Ainabtich, Kimumu Ward Administrative Offices",100 Metres,,,,pending,0.0,9999.0,Geocoding failed for Moiben,,0,failed
Uasin Gishu,,Ainabkoi,"Adjacent To Eldoret East District Hqs, Off",Eldoret East District Hqs,Across The Road (0),,,pending,0.0,9999.0,Geocoding failed for Ainabkoi,,0,failed
Uasin Gishu,,Kapseret,"Inside R.C.E.A Ushirika Church Compound, Op-","R.C.E.A Ushirika Church, Opposite Hills School",Inside The Church Compound,,,pending,0.0,9999.0,Geocoding failed for Kapseret,,0,failed
Uasin Gishu,,Kesses,Jamboni Complex Near DCC’s Office,Moi Unversity Law School,1 Km,,,pending,0.0,9999.0,Geocoding failed for Kesses,,0,failed
Elgeyo Marakwet,,Marakwet East,Chesoi DCC Compound,DCC Office,Within,,,pending,0.0,9999.0,Geocoding failed for Marakwet East,,0,failed
Elgeyo Marakwet,,Marakwet West,Kapsowar IEBC Office,IEBC,Within,,,pending,0.0,9999.0,Geocoding failed for Marakwet West,,0,failed
Elgeyo Marakwet,,Keiyo North,IEBC,County Governor Office,Sharing a Fence,,,pending,0.0,9999.0,Geocoding failed for Keiyo North,,0,failed
Elgeyo Marakwet,,Keiyo South,Chepkorio Prime Tower Sacco,Prime Tower Sacco Society,Within,,,pending,0.0,9999.0,Geocoding failed for Keiyo South,,0,failed
Nandi,,Mosop,Kabiyet-Nandi North District Headquarters,Kabiyet-Nandi North District Headquarters,Same Compound,,,pending,0.0,9999.0,Geocoding failed for Mosop,,0,failed
Nandi,,Emgwen,Mininstry of Lands Kapsabet,Ministry of Lands/ Acc Office,20meters From Tarmac,,,pending,0.0,9999.0,Geocoding failed for Emgwen,,0,failed
Nandi,,Chesumei,Cheptarit Catholic Church- Mosoriot,Cheptarit Catholic Church,Same Location,,,pending,0.0,9999.0,Geocoding failed for Chesumei,,0,failed
Nandi,,Aldai,"St. Pauls Catholic Church, Within Kobujoi Town",St. Pauls Catholic Church,,,,pending,0.0,9999.0,Geocoding failed for Aldai,,0,failed
Nandi,,Tindiret,Senetwo Social Hall,Former World Vision Offices,Senetwo Primary School Within,,,pending,0.0,9999.0,Geocoding failed for Tindiret,,0,failed
Baringo,,Tiaty,Next To Ministry Of Education Offices-,Chemolingot,,,,pending,0.0,9999.0,Geocoding failed for Tiaty,,0,failed
Baringo,,Baringo Central,"County Commissioners Premises,",County Commissioners Premises- Kabarnet 100m,,,,pending,0.0,9999.0,Geocoding failed for Baringo Central,,0,failed
Baringo,,Baringo South,Deputy County Commissioner’s,District Hq Marigat - Kabarnet,200m From Telcom Kenya,,,pending,0.0,9999.0,Geocoding failed for Baringo South,,0,failed
Laikipia,,Laikipia West,Telkom Building Nyahururu Town,Nyahururu Law Courts,20 Metres Approximate,,,pending,0.0,9999.0,Geocoding failed for Laikipia West,,0,failed
Laikipia,,Laikipia East,Laikipia County Commissioners,County Commissioners Office,Within The Compound,,,pending,0.0,9999.0,Geocoding failed for Laikipia East,,0,failed
Laikipia,,Laikipia North,Doldol Catholic Parish Compound,Doldol Catholic Church,Within The Compound,,,pending,0.0,9999.0,Geocoding failed for Laikipia North,,0,failed
Vihiga,,Luanda,Luanda Centre,Bunyore Girls High School,800 Metres,,,pending,0.0,9999.0,Geocoding failed for Luanda,,0,failed
Vihiga,,Emuhaya,Esibuye Centre,Bunyore Medical Hospital,150 Metres,,,pending,0.0,9999.0,Geocoding failed for Emuhaya,,0,failed
Nyamira,,West Mugirango,Nyamira Town,County Commissioners' Headquarters,200 Metres,,,pending,0.0,9999.0,Geocoding failed for West Mugirango,,0,failed
Nyamira,,North Mugirango,Ekerenyo Market,Ekerenyo Bus Stage,100 Metres Off the Ekereyo - Nyamira Road,,,pending,0.0,9999.0,Geocoding failed for North Mugirango,,0,failed
Nyamira,,Borabu,DCC Office Compound in Kijauri Town DCC Offfice,20 Metres,,,,pending,0.0,9999.0,Geocoding failed for Borabu,,0,failed
